"","form","code","mean"
"1","道路型態","1","有遮斷器"
"2","道路型態","2","無遮斷器"
"3","道路型態","3","三岔路"
"4","道路型態","4","四岔路"
"5","道路型態","5","多岔路"
"6","道路型態","6","隧道"
"7","道路型態","7","地下道"
"8","道路型態","8","橋樑"
"9","道路型態","9","涵洞"
"10","道路型態","10","高架道路"
"11","道路型態","11","彎曲路及附近"
"12","道路型態","12","坡路"
"13","道路型態","13","巷弄"
"14","道路型態","14","直路"
"15","道路型態","15","其他"
"16","道路型態","16","圓環"
"17","道路型態","17","廣場"
"18","事故位置","1","交岔路口內"
"19","事故位置","2","交岔口附近"
"20","事故位置","3","機車待轉區"
"21","事故位置","4","機車停等區"
"22","事故位置","5","交通島（含槽化線）"
"23","事故位置","6","迴轉道"
"24","事故位置","7","快車道"
"25","事故位置","8","慢車道"
"26","事故位置","9","一般車道（未劃分快慢車道）"
"27","事故位置","10","公車專用道"
"28","事故位置","11","機車專用道"
"29","事故位置","12","機車優先道"
"30","事故位置","13","路肩、路緣"
"31","事故位置","14","加速車道"
"32","事故位置","15","減速車道"
"33","事故位置","16","直線匝道"
"34","事故位置","17","環道匝道"
"35","事故位置","18","行人穿越道"
"36","事故位置","19","穿越道附近"
"37","事故位置","20","人行道"
"38","事故位置","21","收費站附近"
"39","事故位置","22","其他"
"40","視距","1","彎道"
"41","視距","2","坡道"
"42","視距","3","建築物"
"43","視距","4","樹木、農作物"
"44","視距","5","路上停放車輛"
"45","視距","6","其他"
"46","視距","7","良好"
"47","分向設施","1","寬式（50公分以上）"
"48","分向設施","2","窄式附柵欄"
"49","分向設施","3","窄式無柵欄"
"50","分向設施","4","附標記"
"51","分向設施","5","無標記"
"52","分向設施","6","附標記"
"53","分向設施","7","無標記"
"54","分向設施","8","附標記"
"55","分向設施","9","無標記"
"56","分向設施","10","無分向設施"
"57","快車道或一般車道間","1","禁止雙換車道線（附標記）"
"58","快車道或一般車道間","2","禁止雙換車道線（無標記）"
"59","快車道或一般車道間","3","車道線（附標記）"
"60","快車道或一般車道間","4","車道線（無標記）"
"61","快車道或一般車道間","5","未繪設車道線"
"62","快慢車道間","1","寬式快慢車道分隔島（50公分以上）"
"63","快慢車道間","2","窄式快慢車道分隔島（附柵欄）"
"64","快慢車道間","3","窄式快慢車道分隔島（無柵欄）"
"65","快慢車道間","4","快慢車道分隔線"
"66","快慢車道間","5","未繪設快慢車道分隔線"
"67","事故類型及型態","1","對向通行中"
"68","事故類型及型態","2","同向通行中"
"69","事故類型及型態","3","穿越道路中"
"70","事故類型及型態","4","在路上嬉戲"
"71","事故類型及型態","5","在路上作業中"
"72","事故類型及型態","6","衝進路中"
"73","事故類型及型態","7","從停車後（或中）穿出"
"74","事故類型及型態","8","佇立路邊（外）"
"75","事故類型及型態","9","其他"
"76","事故類型及型態","10","對撞"
"77","事故類型及型態","11","對向擦撞"
"78","事故類型及型態","12","同向擦撞"
"79","事故類型及型態","13","追撞"
"80","事故類型及型態","14","倒車撞"
"81","事故類型及型態","15","路口交岔撞"
"82","事故類型及型態","16","側撞"
"83","事故類型及型態","17","其他"
"84","事故類型及型態","18","路上翻車、摔倒"
"85","事故類型及型態","19","衝出路外"
"86","事故類型及型態","20","撞護欄（樁）"
"87","事故類型及型態","21","撞號誌、標誌桿"
"88","事故類型及型態","22","撞收費亭"
"89","事故類型及型態","23","撞交通島"
"90","事故類型及型態","24","撞非固定設施"
"91","事故類型及型態","25","撞橋樑、建築物"
"92","事故類型及型態","26","撞路樹、電桿"
"93","事故類型及型態","27","撞動物"
"94","事故類型及型態","28","撞工程施工"
"95","事故類型及型態","29","其他"
"96","事故類型及型態","30","衝過（或撞壞）遮斷器"
"97","事故類型及型態","31","正越過平交道中"
"98","事故類型及型態","32","暫停位置不當"
"99","事故類型及型態","33","在平交道內無法行動"
"100","事故類型及型態","34","其他"
"101","受傷程度","1","24小時內死亡"
"102","受傷程度","2","受傷"
"103","受傷程度","3","未受傷"
"104","受傷程度","4","不明"
"105","受傷程度","5","2-30日內死亡"
"106","天候","1","暴雨"
"107","天候","2","強風"
"108","天候","3","風沙"
"109","天候","4","霧或煙"
"110","天候","5","雪"
"111","天候","6","雨"
"112","天候","7","陰"
"113","天候","8","晴"
"114","光線","1","日間自然光線"
"115","光線","2","晨或暮光"
"116","光線","3","夜間（或隧道、地下道、涵洞）有照明"
"117","光線","4","夜間（或隧道、地下道、涵洞）無照明"
"118","道路類別","1","國道"
"119","道路類別","2","省道"
"120","道路類別","3","縣道"
"121","道路類別","4","鄉道"
"122","道路類別","5","市區道路"
"123","道路類別","6","村里道路"
"124","道路類別","7","專用道路"
"125","道路類別","8","其他"
"126","路面鋪裝","1","柏油"
"127","路面鋪裝","2","水泥"
"128","路面鋪裝","3","碎石"
"129","路面鋪裝","4","其他鋪裝"
"130","路面鋪裝","5","無鋪裝"
"131","路面狀態","1","冰雪"
"132","路面狀態","2","油滑"
"133","路面狀態","3","泥濘"
"134","路面狀態","4","濕潤"
"135","路面狀態","5","乾燥"
"136","路面缺陷","1","路面鬆軟"
"137","路面缺陷","2","突出（高低）不平"
"138","路面缺陷","3","有坑洞"
"139","路面缺陷","4","無缺陷"
"140","障礙物","1","道路工事（程）中"
"141","障礙物","2","有堆積物"
"142","障礙物","3","路上有停車"
"143","障礙物","4","其他障礙物"
"144","障礙物","5","無障礙物"
"145","號誌種類","1","行車管制號誌"
"146","號誌種類","2","行車管制號誌（附設行人專用號誌）"
"147","號誌種類","3","閃光號誌"
"148","號誌種類","4","無號誌"
"149","號誌動作","1","正常"
"150","號誌動作","2","不正常"
"151","號誌動作","3","無動作"
"152","號誌動作","4","無號誌"
"153","路面邊線","1","有"
"154","路面邊線","2","無"
"155","國籍","0","本國"
"156","國籍","1","非本國"
"157","主要傷處","1","頭部"
"158","主要傷處","2","頸部"
"159","主要傷處","3","胸部"
"160","主要傷處","4","腹部"
"161","主要傷處","5","腰部"
"162","主要傷處","6","背脊部"
"163","主要傷處","7","手（腕）部"
"164","主要傷處","8","腿（腳）部"
"165","主要傷處","9","多數傷"
"166","主要傷處","10","無"
"167","主要傷處","11","不明"
"168","保護裝備","1","戴安全帽或繫安全帶（使用幼童安全椅）"
"169","保護裝備","2","未戴安全帽或未繫安全帶（未使用幼童安全椅）"
"170","保護裝備","3","不明"
"171","保護裝備","4","其他"
"172","行動電話","1","未使用"
"173","行動電話","2","使用手持"
"174","行動電話","3","使用免持"
"175","行動電話","4","不明"
"176","行動電話","5","非汽（機）車駕駛人"
"177","車種","A01","公營公車"
"178","車種","A02","民營公車"
"179","車種","A03","公營客運"
"180","車種","A04","民營客運"
"181","車種","A05","遊覽車"
"182","車種","A06","自用大客車"
"183","車種","A11","大貨車營業用"
"184","車種","A12","大貨車自用"
"185","車種","A21","全聯結車營業用"
"186","車種","A22","全聯結車自用"
"187","車種","A31","半聯結車營業用"
"188","車種","A32","半聯結車自用"
"189","車種","A41","曳引車營業用"
"190","車種","A42","曳引車自用"
"191","車種","B01","小客車計程車"
"192","車種","B02","小客車租貸車"
"193","車種","B03","小客車自用"
"194","車種","B11","小貨車營業用"
"195","車種","B12","小貨車自用"
"196","車種","G01","拼裝車"
"197","車種","G02","農耕用車（或機械）"
"198","車種","G03","動力機械"
"199","車種","G04","拖車（架）"
"200","車種","G05","火車"
"201","車種","G06","其他車"
"202","車種","H01","行人"
"203","車種","H02","乘客"
"204","車種","H03","其他人"
"205","車種","C01","機車大型重型1（550C.C.以上）"
"206","車種","C02","機車大型重型2（250-550C.C.）"
"207","車種","C03","機車普通重型"
"208","車種","C04","機車普通輕型"
"209","車種","C05","機車小型輕型"
"210","車種","D01","軍車大客車"
"211","車種","D02","軍車載重車"
"212","車種","D03","軍車小型車"
"213","車種","E01","救護車"
"214","車種","E02","消防車"
"215","車種","E03","警備車"
"216","車種","E04","工程車"
"217","車種","E05","其他特種車"
"218","車種","F01","腳踏自行車"
"219","車種","F02","電動輔助自行車"
"220","車種","F03","電動自行車"
"221","車種","F04","人力車"
"222","車種","F05","獸力車"
"223","車種","F06","其他慢車"
"224","車輛用途","1","砂石車"
"225","車輛用途","2","幼童專用車"
"226","車輛用途","3","校車"
"227","車輛用途","4","殘障特製車"
"228","車輛用途","5","教練車"
"229","車輛用途","6","裝載危險物品車"
"230","車輛用途","7","其他"
"231","車輛用途","8","非駕駛人及乘客"
"232","當事者行動狀態","1","起步"
"233","當事者行動狀態","2","倒車"
"234","當事者行動狀態","3","停車操作中"
"235","當事者行動狀態","4","超車（含超越）"
"236","當事者行動狀態","5","左轉彎"
"237","當事者行動狀態","6","右轉彎"
"238","當事者行動狀態","7","向左變換車道"
"239","當事者行動狀態","8","向右變換車道"
"240","當事者行動狀態","9","向前直行中"
"241","當事者行動狀態","10","插入行列"
"242","當事者行動狀態","11","迴轉或橫越道路中"
"243","當事者行動狀態","12","急減速或急停止"
"244","當事者行動狀態","13","靜止（引擎熄火）"
"245","當事者行動狀態","14","停等（引擎未熄火）"
"246","當事者行動狀態","15","其他"
"247","當事者行動狀態","16","步行"
"248","當事者行動狀態","17","靜立（止）"
"249","當事者行動狀態","18","奔跑"
"250","當事者行動狀態","19","上、下車"
"251","當事者行動狀態","20","其他"
"252","當事者行動狀態","21","不明"
"253","駕駛資格情形","1","更適當之駕照"
"254","駕駛資格情形","2","無照（未達考照年齡）"
"255","駕駛資格情形","3","無照（已達考照年齡）"
"256","駕駛資格情形","4","越級駕駛"
"257","駕駛資格情形","5","駕照被吊扣"
"258","駕駛資格情形","6","駕照被吊（註）銷"
"259","駕駛資格情形","7","不明"
"260","駕駛資格情形","8","非汽（機）車駕駛人"
"261","駕駛執照種類","1","職業駕照聯結車"
"262","駕駛執照種類","2","職業駕照大客車"
"263","駕駛執照種類","3","職業駕照大貨車"
"264","駕駛執照種類","4","職業駕照小型車"
"265","駕駛執照種類","5","普通駕照聯結車"
"266","駕駛執照種類","6","普通駕照大客車"
"267","駕駛執照種類","7","普通駕照大貨車"
"268","駕駛執照種類","8","普通駕照小型車"
"269","駕駛執照種類","9","機車駕照大型重型"
"270","駕駛執照種類","10","機車駕照普通重型"
"271","駕駛執照種類","11","機車駕照輕型"
"272","駕駛執照種類","12","軍用駕照大客車"
"273","駕駛執照種類","13","軍用駕照載重車"
"274","駕駛執照種類","14","軍用駕照小型車"
"275","駕駛執照種類","15","國際（外國）駕照"
"276","駕駛執照種類","16","其他駕照（證）"
"277","駕駛執照種類","17","學習駕駛證"
"278","駕駛執照種類","18","無駕駛執照"
"279","駕駛執照種類","19","不明"
"280","駕駛執照種類","20","非汽（機）車駕駛人"
"281","飲酒情形","1","經觀察未飲酒"
"282","飲酒情形","2","經檢測無酒精反應"
"283","飲酒情形","3","經呼氣檢測未超過0.15mg／L或血液檢測未超過0.03"
"284","飲酒情形","4","經呼氣檢測0.16至0.25mg／L或血液檢測0.031至0.05"
"285","飲酒情形","5","經呼氣檢測0.26至0.40mg／L或血液檢測0.051至0.08"
"286","飲酒情形","6","經呼氣檢測0.41至0.55mg／L或血液檢測0.081至0.11"
"287","飲酒情形","7","經呼氣檢測0.56至0.80mg／L或血液檢測0.111至0.16"
"288","飲酒情形","8","經呼氣檢測超過0.80mg／L或血液檢測超過0.16"
"289","飲酒情形","9","無法檢測"
"290","飲酒情形","10","非駕駛人，未檢測"
"291","飲酒情形","11","不明"
"292","車輛撞擊部位","1","汽車前車頭"
"293","車輛撞擊部位","2","汽車右側車身"
"294","車輛撞擊部位","3","汽車後車尾"
"295","車輛撞擊部位","4","汽車左側車身"
"296","車輛撞擊部位","5","汽車右前車頭（身）"
"297","車輛撞擊部位","6","汽車右後車尾（身）"
"298","車輛撞擊部位","7","汽車左後車尾（身）"
"299","車輛撞擊部位","8","汽車左前車頭（身）"
"300","車輛撞擊部位","9","汽車車頂"
"301","車輛撞擊部位","10","汽車車底"
"302","車輛撞擊部位","11","機車前車頭"
"303","車輛撞擊部位","12","機車右側車身"
"304","車輛撞擊部位","13","機車後車尾"
"305","車輛撞擊部位","14","機車左側車身"
"306","車輛撞擊部位","15","不明"
"307","車輛撞擊部位","16","非汽（機）車"
"308","職.業","1","民意代表、行政主管、企業主管及經理人員"
"309","職.業","2","專業人員"
"310","職.業","3","技術員及助理人員"
"311","職.業","4","事務工作者"
"312","職.業","5","服務工作者"
"313","職.業","6","售貨員"
"314","職.業","7","農林漁牧工作者"
"315","職.業","8","保安工作者（不含警察人員）"
"316","職.業","9","技術工"
"317","職.業","10","汽車、火車駕駛員及船員"
"318","職.業","11","機械設備操作工及組裝工"
"319","職.業","12","非技術工及體力工"
"320","職.業","13","未就學兒童"
"321","職.業","14","小學生"
"322","職.業","15","國中生"
"323","職.業","16","高中生"
"324","職.業","17","專科生"
"325","職.業","18","大學（研究）生"
"326","職.業","19","家庭主婦（夫）"
"327","職.業","20","無業者"
"328","職.業","21","其他"
"329","職.業","22","不明"
"330","職.業","23","警察人員"
"331","旅次目的","1","上、下班"
"332","旅次目的","2","上、下學"
"333","旅次目的","3","業務聯繫"
"334","旅次目的","4","運輸"
"335","旅次目的","5","社交活動"
"336","旅次目的","6","觀光旅遊"
"337","旅次目的","7","購物"
"338","旅次目的","8","其他"
"339","旅次目的","9","不明"
