處理編號,車種1,車種2,車種3,車種4,車種5,車種6,車種7,當事者區分.類別.1,當事者區分.類別.2,當事者區分.類別.3,當事者區分.類別.4,當事者區分.類別.5,當事者區分.類別.6,當事者區分.類別.7,年齡1,年齡2,年齡3,年齡4,年齡5,年齡6,年齡7,受傷程度1,受傷程度2,受傷程度3,受傷程度4,受傷程度5,受傷程度6,受傷程度7,車輛牌照號碼1,車輛牌照號碼2,車輛牌照號碼3,車輛牌照號碼4,車輛牌照號碼5,車輛牌照號碼6,車輛牌照號碼7,車輛用途1,車輛用途2,車輛用途3,車輛用途4,車輛用途5,車輛用途6,車輛用途7,駕駛資格情形1,駕駛資格情形2,駕駛資格情形3,駕駛資格情形4,駕駛資格情形5,駕駛資格情形6,駕駛資格情形7,飲酒情形1,飲酒情形2,飲酒情形3,飲酒情形4,飲酒情形5,飲酒情形6,飲酒情形7,車輛撞擊部位最初1,車輛撞擊部位最初2,車輛撞擊部位最初3,車輛撞擊部位最初4,車輛撞擊部位最初5,車輛撞擊部位最初6,車輛撞擊部位最初7,肇事因素個別1,肇事因素個別2,肇事因素個別3,肇事因素個別4,肇事因素個別5,肇事因素個別6,肇事因素個別7,肇事因素主要1,肇事因素主要2,肇事因素主要3,肇事因素主要4,肇事因素主要5,肇事因素主要6,肇事因素主要7,職.業1,職.業2,職.業3,職.業4,職.業5,職.業6,職.業7,旅次目的1,旅次目的2,旅次目的3,旅次目的4,旅次目的5,旅次目的6,旅次目的7,國籍1,國籍2,國籍3,國籍4,國籍5,國籍6,國籍7
10101YY000001,自用 小客車,自用 小貨車(含客、貨兩用),,,,,,小客車自用,小貨車自用,,,,,,54,64,,,,,,未受傷,受傷,,,,,,07****X代號1,WY****5代號2,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,不明,,,,,,汽車右前車頭（身）,汽車前車頭,,,,,,未依規定讓車,尚未發現肇事因素,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,,,,,
10101YY000003,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,33,74,,,,,,未受傷,受傷,,,,,,51****J代號3,XN****7代號4,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,機車前車頭,,,,,,未靠右行駛,未靠右行駛,,,,,,未靠右行駛,未靠右行駛,,,,,,服務工作者,無業者,,,,,,購物,購物,,,,,,本國,本國,,,,,
10101YY000004,自用 小貨車(含客、貨兩用), ,,,,,,小貨車自用,,,,,,,33,0,,,,,,24小時內死亡,,,,,,,62****V代號5,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,不明,,,,,,,汽車右前車頭（身）,,,,,,,不明原因肇事,尚未發現肇事因素,,,,,,不明原因肇事,不明原因肇事,,,,,,技術工,,,,,,,不明,,,,,,,本國,本國,,,,,
10101YY000006,自用 小客車, ,,,,,,小客車自用,,,,,,,28,0,,,,,,受傷,,,,,,,6F****6代號7,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,汽車前車頭,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,服務工作者,,,,,,,上、下班,,,,,,,本國,本國,,,,,
10101YY000008,普通重型 機車,腳踏自行車 慢車,,,,,,機車普通重型,腳踏自行車,,,,,,30,59,,,,,,受傷,受傷,,,,,,99****C代號8,,,,,,,其他,其他,,,,,,有適當之駕照,非汽（機）車駕駛人,,,,,,不明,經檢測無酒精反應,,,,,,機車前車頭,非汽（機）車,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,技術工,技術工,,,,,,上、下班,上、下班,,,,,,本國,本國,,,,,
10101YY000009,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,73,39,,,,,,受傷,未受傷,,,,,,PZ****3代號9,37****Y代號10,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經呼氣檢測0.41至0.55mg∕L或血液檢測0.081至0.11,,,,,,機車右側車身,汽車前車頭,,,,,,未依規定讓車,酒醉（後）駕駛失控,,,,,,未依規定讓車,未依規定讓車,,,,,,不明,技術工,,,,,,購物,社交活動,,,,,,本國,本國,,,,,
10101YY000010,普通重型 機車,行人 人,,,,,,機車普通重型,行人,,,,,,64,80,,,,,,未受傷,受傷,,,,,,KE****3代號11,,,,,,,其他,非駕駛人及乘客,,,,,,有適當之駕照,非汽（機）車駕駛人,,,,,,經檢測無酒精反應,非駕駛人，未檢測,,,,,,機車前車頭,非汽（機）車,,,,,,未注意車前狀態,未依規定行走行人穿越道、地下道、天橋而穿越道路,,,,,,未注意車前狀態,未注意車前狀態,,,,,,服務工作者,家庭主婦（夫）,,,,,,購物,購物,,,,,,本國,本國,,,,,
10101YY000014,自用 小貨車(含客、貨兩用),自用 小貨車(含客、貨兩用),,,,,,小貨車自用,小貨車自用,,,,,,59,46,,,,,,,,,,,,,44****8代號12,WY****8代號13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本國,本國,,,,,
10101YY000021,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,36,63,,,,,,受傷,未受傷,,,,,,35****F代號14,HF****7代號15,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車右側車身,汽車左側車身,,,,,,未注意車前狀態,未依規定讓車,,,,,,未注意車前狀態,未注意車前狀態,,,,,,服務工作者,服務工作者,,,,,,上、下班,上、下班,,,,,,本國,本國,,,,,
10101YY000025,自用 小貨車(含客、貨兩用),普通重型 機車,乘客 人,,,,,小貨車自用,機車普通重型,乘客,,,,,59,31,21,,,,,未受傷,受傷,受傷,,,,,6F****0代號16,08****V代號17,08****V代號17,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,汽車左側車身,機車右側車身,非汽（機）車,,,,,開啟車門不當而肇事,未注意車前狀態,尚未發現肇事因素,,,,,開啟車門不當而肇事,開啟車門不當而肇事,開啟車門不當而肇事,,,,,其他,其他,其他,,,,,其他,其他,其他,,,,,本國,本國,本國,,,,
