年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道.1,段.1,側,附近,道路,公里,公尺處.1,向,車道,平交道,公里.1,公尺處.2,附近.1,死,受傷,X2.30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,日期,道路1,道路2,概略位置,lon,lat,車種,當事者區分.類別.,年齡,受傷程度,車輛牌照號碼,車輛用途,駕駛資格情形,飲酒情形,車輛撞擊部位最初,肇事因素個別,肇事因素主要,職.業,旅次目的,國籍
10101,10101Y00020001,YYA1,10101YY000001,2012,1,1,16,7,金門縣,金沙鎮,,NA,環島北路,三,,NA,,,高陽路,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,村里道路,60,三岔路,交岔路口內,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,側撞,未依規定讓車,Y000,YY00,1,2,2012/1/1,環島北路三段,高陽路,,118.3887036,24.46664488,自用 小客車∕自用 小貨車(含客、貨兩用)∕,小客車自用∕小貨車自用∕,54∕64∕,未受傷∕受傷∕,07****X代號1∕WY****5代號2∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕不明∕,汽車右前車頭（身）∕汽車前車頭∕,未依規定讓車∕尚未發現肇事因素∕,未依規定讓車∕未依規定讓車∕,其他∕其他∕,其他∕其他∕,本國∕本國∕
10101,10101Y00020002,YYA1,10101YY000003,2012,1,2,16,27,金門縣,金湖鎮,山外里,NA,,,,NA,,,,,,安民15號軍事檢察署前路段,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,村里道路,50,彎曲路及附近,一般車道（未劃分快慢車道）,柏油,乾燥,無缺陷,無障礙物,彎道,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,對撞,未靠右行駛,Y000,YY00,1,2,2012/1/2,金門縣金湖鎮山外里安民15號軍事檢察署前路段,,金門縣金湖鎮山外里安民15號軍事檢察署前路段,118.431767,24.445345,自用 小客車∕普通重型 機車∕,小客車自用∕機車普通重型∕,33∕74∕,未受傷∕受傷∕,51****J代號3∕XN****7代號4∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車前車頭∕機車前車頭∕,未靠右行駛∕未靠右行駛∕,未靠右行駛∕未靠右行駛∕,服務工作者∕無業者∕,購物∕購物∕,本國∕本國∕
10101,,YYA1,10101YY000004,2012,1,2,6,15,金門縣,金沙鎮,,NA,,,,NA,,,,,,田埔水庫內,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,晴,夜間（或隧道、地下道、涵洞）有照明,村里道路,50,直路,一般車道（未劃分快慢車道）,水泥,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,衝出路外,不明原因肇事,Y000,YY00,2,1,2012/1/2,金門縣金沙鎮田埔水庫內,,金門縣金沙鎮田埔水庫內,118.456382,24.476293,自用 小貨車(含客、貨兩用)∕ ∕,小貨車自用,33∕0∕,24小時內死亡,62****V代號5,其他,有適當之駕照,不明,汽車右前車頭（身）,不明原因肇事∕尚未發現肇事因素∕,不明原因肇事∕不明原因肇事∕,技術工,不明,本國∕本國∕
10101,10101Y00020004,YYA1,10101YY000006,2012,1,3,19,33,金門縣,金沙鎮,,NA,環島北路,四,,NA,,,,,,警光會館往營山路口間路段,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,陰,夜間（或隧道、地下道、涵洞）有照明,村里道路,60,直路,一般車道（未劃分快慢車道）,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,撞號誌、標誌桿,未注意車前狀態,Y000,YY00,1,2,2012/1/3,環島北路四段,,金門縣金沙鎮警光會館往營山路口間路段,118.4045085,24.4840105,自用 小客車∕ ∕,小客車自用,28∕0∕,受傷,6F****6代號7,其他,有適當之駕照,經檢測無酒精反應,汽車前車頭,未注意車前狀態∕尚未發現肇事因素∕,未注意車前狀態∕未注意車前狀態∕,服務工作者,上、下班,本國∕本國∕
10101,10101Y00020028,YYA1,10101YY000008,2012,1,4,17,50,金門縣,金湖鎮,,NA,太湖路,三,,NA,,,,,,金湖國中旁路段,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,陰,晨或暮光,村里道路,60,直路,一般車道（未劃分快慢車道）,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,追撞,未注意車前狀態,Y000,YY00,1,2,2012/1/4,太湖路三段,,金門縣金湖鎮金湖國中旁路段,118.4317691,24.4347503,普通重型 機車∕腳踏自行車 慢車∕,機車普通重型∕腳踏自行車∕,30∕59∕,受傷∕受傷∕,99****C代號8,其他∕其他∕,有適當之駕照∕非汽（機）車駕駛人∕,不明∕經檢測無酒精反應∕,機車前車頭∕非汽（機）車∕,未注意車前狀態∕尚未發現肇事因素∕,未注意車前狀態∕未注意車前狀態∕,技術工∕技術工∕,上、下班∕上、下班∕,本國∕本國∕
10101,10101Y00020006,YYA1,10101YY000009,2012,1,5,20,46,金門縣,金湖鎮,,NA,黃海路,,,NA,,,復興路,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,夜間（或隧道、地下道、涵洞）無照明,村里道路,40,四岔路,交岔路口內,柏油,乾燥,無缺陷,無障礙物,良好,閃光號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,側撞,未依規定讓車,Y000,YY00,1,2,2012/1/5,黃海路,復興路,,118.4143341,24.44234488,普通重型 機車∕自用 小客車∕,機車普通重型∕小客車自用∕,73∕39∕,受傷∕未受傷∕,PZ****3代號9∕37****Y代號10∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經呼氣檢測0.41至0.55mg∕L或血液檢測0.081至0.11∕,機車右側車身∕汽車前車頭∕,未依規定讓車∕酒醉（後）駕駛失控∕,未依規定讓車∕未依規定讓車∕,不明∕技術工∕,購物∕社交活動∕,本國∕本國∕
10101,10101Y00020007,YYA1,10101YY000010,2012,1,6,7,22,金門縣,金湖鎮,,NA,太湖路,,,NA,,,,,,武德新莊00624燈桿,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,雨,日間自然光線,村里道路,50,直路,一般車道（未劃分快慢車道）,柏油,濕潤,無缺陷,其他障礙物,良好,無號誌,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,未注意車前狀態,Y000,YY00,1,2,2012/1/6,太湖路,,金門縣金湖鎮武德新莊00624燈桿,118.4047483,24.4473343,普通重型 機車∕行人 人∕,機車普通重型∕行人∕,64∕80∕,未受傷∕受傷∕,KE****3代號11,其他∕非駕駛人及乘客∕,有適當之駕照∕非汽（機）車駕駛人∕,經檢測無酒精反應∕非駕駛人，未檢測∕,機車前車頭∕非汽（機）車∕,未注意車前狀態∕未依規定行走行人穿越道、地下道、天橋而穿越道路∕,未注意車前狀態∕未注意車前狀態∕,服務工作者∕家庭主婦（夫）∕,購物∕購物∕,本國∕本國∕
10101,,YYA1,10101YY000014,2012,1,6,8,18,金門縣,金湖鎮,,NA,太湖路,二,,NA,,,,,,往舊市場產業道路,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,雨,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y000,YY00,1,4,2012/1/6,太湖路二段,,金門縣金湖鎮往舊市場產業道路,118.4170143,24.4394812,自用 小貨車(含客、貨兩用)∕自用 小貨車(含客、貨兩用)∕,小貨車自用∕小貨車自用∕,59∕46∕,,44****8代號12∕WY****8代號13∕,,,,,,,,,本國∕本國∕
10101,10101Y00020014,YYA1,10101YY000021,2012,1,12,17,57,金門縣,金湖鎮,,NA,瓊徑路,,,NA,,,經武路,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,陰,晨或暮光,村里道路,50,四岔路,交岔路口內,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,側撞,未注意車前狀態,Y000,YY00,1,2,2012/1/12,瓊徑路,經武路,,118.3880485,24.44342822,普通重型 機車∕自用 小客車∕,機車普通重型∕小客車自用∕,36∕63∕,受傷∕未受傷∕,35****F代號14∕HF****7代號15∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,機車右側車身∕汽車左側車身∕,未注意車前狀態∕未依規定讓車∕,未注意車前狀態∕未注意車前狀態∕,服務工作者∕服務工作者∕,上、下班∕上、下班∕,本國∕本國∕
10101,10101Y00020015,YYA1,10101YY000025,2012,1,14,15,10,金門縣,金湖鎮,新市里,NA,林森路,,,NA,,,,,,與自強路口,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,雨,日間自然光線,村里道路,40,四岔路,交岔口附近,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,其他,開啟車門不當而肇事,Y000,YY00,1,2,2012/1/14,林森路,,金門縣金湖鎮新市里與自強路口,118.4162571,24.4417488,自用 小貨車(含客、貨兩用)∕普通重型 機車∕乘客 人,小貨車自用∕機車普通重型∕乘客,59∕31∕21,未受傷∕受傷∕受傷,6F****0代號16∕08****V代號17∕08****V代號17,其他∕其他∕其他,有適當之駕照∕有適當之駕照∕非汽（機）車駕駛人,經檢測無酒精反應∕經檢測無酒精反應∕非駕駛人，未檢測,汽車左側車身∕機車右側車身∕非汽（機）車,開啟車門不當而肇事∕未注意車前狀態∕尚未發現肇事因素,開啟車門不當而肇事∕開啟車門不當而肇事∕開啟車門不當而肇事,其他∕其他∕其他,其他∕其他∕其他,本國∕本國∕本國
