"年月","總編號","處理單位","處理編號","年","月","日","時","分","縣市","區","村里","鄰","街道","段","巷","弄","號","公尺處","街道.1","段.1","側","附近","道路","公里","公尺處.1","向","車道","平交道","公里.1","公尺處.2","附近.1","死","受傷","X2.30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","警局","分局","案件類別","事故類別","日期","道路1","道路2","概略位置","lon","lat"
10101,"10101Y00020023","YYA1","10101YY000037",2012,1,27,14,31,"金門縣","金湖鎮","",NA,"經武路","","",NA,"","","瓊徑路","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"陰","日間自然光線","村里道路",50,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","行車管制號誌","正常","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YY00",1,2,"2012-01-27","經武路","瓊徑路","",118.3880485,24.44342822
10201,"10201Y00030002","YZA1","10201YZ000018",2013,1,12,13,25,"金門縣","金城鎮","",NA,"珠浦南路","","",NA,"","","","","","44巷17號前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","村里道路",40,"三岔路","直線匝道","其他鋪裝","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","側撞","未依規定讓車","Y000","YZ00",1,3,"2013-01-12","珠浦南路","","金門縣金城鎮44巷17號前",118.3152928,24.4311875
10101,"10101Y00020003","YZA1","10101YZ000005",2012,1,3,18,40,"金門縣","金城鎮","",NA,"","","",NA,"","","","","","民生民權路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"四岔路","行人穿越道","柏油","乾燥","無缺陷","無障礙物","良好","行車管制號誌","正常","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","穿越道路中","搶越行人穿越道","Y000","YZ00",1,2,"2012-01-03","金門縣金城鎮民生民權路口","","金門縣金城鎮民生民權路口",118.318387,24.437086
10201,"10201Y00020011","YYA1","10201YY000015",2013,1,11,10,40,"金門縣","金沙鎮","",NA,"環島東路","一","",NA,"","","","","","蔡店路段10201路燈桿處",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",60,"四岔路","交岔口附近","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","未繪設快慢車道分隔線","有","撞路樹、電桿","未注意車前狀態","Y000","YY00",1,2,"2013-01-11","環島東路一段","","金門縣金沙鎮蔡店路段10201路燈桿處",118.4213083,24.4841071
10101,"10101Y00020013","YZA1","10101YZ000020",2012,1,12,7,25,"金門縣","烈嶼鄉","",NA,"東林街","","",NA,"175","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"陰","日間自然光線","鄉道",40,"三岔路","交岔口附近","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","同向擦撞","其他引起事故之違規或不當行為","Y000","YZ00",1,2,"2012-01-12","東林街175號","","金門縣烈嶼鄉",118.2485954,24.4282783
10106,"10106Y00020038","YZA1","10106YZ000051",2012,6,29,7,30,"金門縣","烈嶼鄉","青岐村",NA,"八青路","","",NA,"","","","","","青岐4號前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","鄉道",50,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",1,2,"2012-06-29","八青路","","金門縣烈嶼鄉青岐村青岐4號前路段",118.2364682,24.422863
10101,"","YZA1","10101YZ000029",2012,1,17,16,2,"金門縣","金寧鄉","",NA,"伯玉路","一","",NA,"","","","","","水玲瓏檳榔攤旁產業道路",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","水泥","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","路口交岔撞","未依規定讓車","Y000","YZ00",1,4,"2012-01-17","伯玉路一段","","金門縣金寧鄉水玲瓏檳榔攤旁產業道路",118.3267756,24.4346914
10204,"10204Y00020021","YYA1","10204YY000038",2013,4,24,17,0,"金門縣","金湖鎮","",NA,"復興路","","",NA,"","","","","","署立醫院急診室路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",40,"三岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YY00",1,2,"2013-04-24","復興路","","金門縣金湖鎮署立醫院急診室路口",118.4161413,24.4412321
10102,"10102Y00020002","YYA1","10102YY000003",2012,2,2,2,0,"金門縣","金湖鎮","",NA,"環島南路","四","",NA,"","","","","","夏興路段05095號路燈桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",50,"彎曲路及附近","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","快慢車道分隔線","有","撞護欄（樁）","未依規定減速","Y000","YY00",1,2,"2012-02-02","環島南路四段","","金門縣金湖鎮夏興路段05095號路燈桿",118.40101,24.438041
10307,"10307Y00020041","YZA1","10307YZ000034",2014,7,13,17,55,"金門縣","金寧鄉","",NA,"慈湖路","一","",NA,"","","","","","03405燈桿前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","鄉道",40,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","路口交岔撞","未依規定讓車","Y000","YZ00",1,2,"2014-07-13","慈湖路一段","","金門縣金寧鄉03405燈桿前",118.3117387,24.4416084
